"quantile","target_end_date","location","target","truth","value","model","window_size"
0.05,2020-08-29,"44","1 wk ahead cum death",1046,1031.11653112014,"QNA3",4
0.05,2020-08-29,"51","1 wk ahead cum death",2568,2493.77077920754,"QNA3",4
0.05,2020-08-29,"36","1 wk ahead cum death",32891,32897.6730988319,"QNA3",4
0.05,2020-08-29,"32","1 wk ahead cum death",1302,1285.22476749444,"QNA3",4
0.05,2020-08-29,"50","1 wk ahead cum death",58,57.9922800035515,"QNA3",4
0.05,2020-08-29,"09","1 wk ahead cum death",4465,4461.47995118914,"QNA3",4
0.05,2020-08-29,"18","1 wk ahead cum death",3285,3285.60168091264,"QNA3",4
0.05,2020-08-29,"49","1 wk ahead cum death",407,395.307555941696,"QNA3",4
0.05,2020-08-29,"13","1 wk ahead cum death",5576,5443.75306306445,"QNA3",4
0.05,2020-08-29,"27","1 wk ahead cum death",1863,1843.46874436875,"QNA3",4
0.05,2020-08-29,"53","1 wk ahead cum death",1899,1913.54096372286,"QNA3",4
0.05,2020-08-29,"12","1 wk ahead cum death",11105,10998.3759145592,"QNA3",4
0.05,2020-08-29,"48","1 wk ahead cum death",12987,12526.6387056889,"QNA3",4
0.05,2020-08-29,"33","1 wk ahead cum death",432,430.483347929308,"QNA3",4
0.05,2020-08-29,"15","1 wk ahead cum death",62,47.9928678077765,"QNA3",4
0.05,2020-08-29,"34","1 wk ahead cum death",15933,15959.9995312253,"QNA3",4
0.05,2020-08-29,"54","1 wk ahead cum death",215,186.262441893981,"QNA3",4
0.05,2020-08-29,"17","1 wk ahead cum death",8217,8186.47018898607,"QNA3",4
0.1,2020-08-29,"42","1 wk ahead cum death",7656,7632.70901038515,"QNA3",4
0.1,2020-08-29,"01","1 wk ahead cum death",2152,2083.74465188627,"QNA3",4
0.1,2020-08-29,"29","1 wk ahead cum death",1528,1502.3560110187,"QNA3",4
0.1,2020-08-29,"04","1 wk ahead cum death",5007,4952.23587393846,"QNA3",4
0.1,2020-08-29,"55","1 wk ahead cum death",1178,1112.21958295192,"QNA3",4
